KOI Name,Our Disposition,Kepler ID,Kepler Name,KOI Number,Kepler Disposition,NExScI Disposition,RA (J2000),RA Error,Dec (J2000),Dec Error,Time of Transit Epoch,Time err1,Time err2,Period,Period err1,Period err2,Transit Depth,Depth err1,Depth err2,Duration,Duration err1,Duration err2,Ingress Duration,Ingress err1,Ingress err2,Impact Parameter,Impact Parameter err1,Impact Parameter err2,Inclination,Inclination err1,Inclination err2,Semi-major Axis,Semi-major Axus err1,Semi-major Axis err2,Eccentricity,Eccentricity err1,Eccentricity err2,Long of Periastron,Long err1,Long err2,r/R,r/R err1,r/R err2,a/R,a/R err1,a/R err2,Planet Radius,Planet Radius err1,Planet Radius err2,Teq,Teq err1,Teq err2,Teff,Teff err1,Teff err2,log(g),log(g) err1,log(g) err2,Metallicity,Metallicity err1,Metallicity err2,Stellar Radius,Stellar Radius err1,Stellar Radius err2,Stellar Mass,Stellar Mass err2,Stellar Mass err1,Age,Age err1,Age err2,Provenance,Quarters,Limb Darkening Model,Limb Darkening Coeff1,Limb Darkening Coeff2,Limb Darkening Coeff3,Limb Darkening Coeff4,Transit Number,Max single event sigma,Max Multievent sigma,KOI count,Binary Discrimination,Comments,Transit Model,Transit Model SNR,Transit Model DOF,Transit Model chisq,FWM motion signif.,gmag,gmag err,rmag,rmag err,imag,imag err,zmag,zmag err,Jmag,Jmag err,Hmag,Hmag err,Kmag,Kmag err,kepmag,kepmag err,Delivery Name,FWM SRA,FWM SRA err,FWM SDec,FWM SDec err,FWM SRAO,FWM SRAO err,FWM SDeco,FWM SDeco err,FWM PRAO,FWM PRAO err,FWM PDeco,FWM PDeco err,Dicco MRA,Dicco MRA err,Dicco MDec,Dicco MDec err,Dicco MSky,Dicco MSky err,Dikco MRA,Dikco MRA err,Dikco MDec,Dikco MDec err,Dikco MSky,Dikco MSky err,Vet Stat,Last vet Update,TCE Planet Number,TCE Delivery Name,DV Report,Disposition Provenance,Parameter Provenance,First Transit Time (BJD),First Transit Time err1,First Transit Time err2,DV Summary,Transit Flag,Secondary Flag,Offset Flag,Contamination Flag,Insolation Flux,Insolation Flux err1,Insolation Flux err2,Fitted Stellar Density,Fitted Stellar Density err1,Fitted Stellar Density err2,Planetary Fit,Disposition Score,File Name
K00958.01,CONFIRMED,1026957,,958.01,CANDIDATE,CANDIDATE,19 25 01.078,0.0,+36 44 37.00,0.0,166.540438,0.000641,-0.000641,21.76129812,1.727e-05,-1.727e-05,1300.7,26.8,-26.8,1.2429999999999999,0.026000000000000002,-0.026000000000000002,,,,0.12300000000000001,0.28800000000000003,-0.12300000000000001,89.95,,,0.14,,,0.0,,,,,,0.032,0.000807,-0.000734,137.07,7.3,-7.3,2.53,0.16,-0.1,486.0,,,4859.0,97.0,-97.0,4.612,0.015,-0.045,0.0,0.15,-0.15,0.72,0.047,-0.028999999999999998,0.7809999999999999,-0.049,0.034,,,,q1_q17_dr25_stellar,11111111111111111000000000000000,Claret (2011 A&A 529 75) ATLAS LS,0.627,0.10800000000000001,0.0,0.0,62,19.204,96.205,1,0.212,CENT_KIC_POS,Mandel and Agol (2002 ApJ 580 171),60.0,,,0.608,13.299000000000001,,12.52,,12.241,,12.05,,10.982000000000001,0.02,10.475,0.02,10.41,0.017,12.559000000000001,,cumulative,19.417,2.7e-06,36.743,3.9e-05,-0.12,0.12,-0.84,0.14,-8e-05,0.00016,5e-05,0.00018999999999999998,0.04,0.13,0.14,0.15,0.15,0.14,-0.08,0.12,-0.29,0.16,0.3,0.14,Active,2017-05-10 00:00:00,1,q1_q17_dr25_tce,/missions/kepler/dv_files/0010/001026957/kplr001026957-20160209194854_dvr.pdf,q1_q17_dr25_koi,q1_q17_dr25_koi,2454999.54,0.000641,-0.000641,/missions/kepler/dv_files/0010/001026957/kplr001026957-01-20160209194854_dvs.pdf,0,0,0,0,13.18,3.0,-1.98,102.86534,5.47239,-30.258129999999998,LS+MCMC,1.0,kplr001026957-20160128150956_dvt.fits
K00984.01,CONFIRMED,1161345,,984.01,CANDIDATE,CANDIDATE,19 24 11.712,0.0,+36 50 23.58,0.0,262.06245,0.002,-0.002,4.28746668,1.524e-05,-1.524e-05,790.1,49.7,-49.7,1.5693,0.079,-0.079,,,,0.374,0.083,-0.374,88.93,,,0.05,,,0.0,,,,,,0.026000000000000002,0.001,-0.001,19.94,5.7,-5.7,2.29,0.22,-0.1,942.0,,,5296.0,105.0,-105.0,4.5760000000000005,0.015,-0.085,0.12,0.15,-0.15,0.815,0.08,-0.034,0.9109999999999999,-0.064,0.036000000000000004,,,,q1_q17_dr25_stellar,11111111111111111000000000000000,Claret (2011 A&A 529 75) ATLAS LS,0.517,0.191,0.0,0.0,313,19.84,116.715,1,0.152,NO_COMMENT,Mandel and Agol (2002 ApJ 580 171),19.4,,,0.0,12.28,,11.956,,11.353,,11.239,,10.457,0.023,10.096,0.025,10.016,0.021,11.630999999999998,,cumulative,19.403,1.7e-06,36.84,2.9e-05,-0.379,0.075,-0.43,0.1,0.000279,8e-05,0.00037999999999999997,0.00011,-0.51,0.61,-0.45,0.55,0.68,0.7,-0.72,0.59,-0.34,0.51,0.8,0.62,Active,2017-05-10 00:00:00,1,q1_q17_dr25_tce,/missions/kepler/dv_files/0011/001161345/kplr001161345-20160209194854_dvr.pdf,q1_q17_dr25_koi,q1_q17_dr25_koi,2455095.062,0.0021100000000000003,-0.0021100000000000003,/missions/kepler/dv_files/0011/001161345/kplr001161345-01-20160209194854_dvs.pdf,0,0,0,0,186.31,56.73,-28.39,8.16471,4.69586,-1.63188,LS+MCMC,0.711,kplr001161345-20160128150956_dvt.fits
K00994.01,CONFIRMED,1431122,,994.01,CANDIDATE,CANDIDATE,19 24 34.198,0.0,+37 03 40.76,0.0,132.86186999999998,0.004,-0.004,4.298920099999999,2.01e-05,-2.01e-05,237.6,13.7,-13.7,2.747,0.131,-0.131,,,,0.972,0.032,-0.757,75.22,,,0.049,,,0.0,,,,,,0.02,0.002,-0.006,3.81,1.9,-1.9,2.12,0.27,-0.27,1046.0,,,5300.0,87.0,-71.0,4.385,0.132,-0.08800000000000001,0.18,0.15,-0.15,0.986,0.124,-0.124,0.861,-0.031,0.061,,,,q1_q17_dr25_stellar,11111111111111111000000000000000,Claret (2011 A&A 529 75) ATLAS LS,0.526,0.18600000000000003,0.0,0.0,314,3.986,15.994000000000002,1,0.102,CENT_KIC_POS,Mandel and Agol (2002 ApJ 580 171),20.0,,,0.0,15.224,,14.534,,14.352,,14.287,,13.284,0.023,12.909,0.024,12.835,0.031,14.613,,cumulative,19.409000000000002,9e-06,37.061,0.00013000000000000002,-0.62,0.39,-1.94,0.47,-0.00020099999999999998,8.9e-05,-0.00045,0.00011,3.29,0.39,9.17,0.7,9.74,0.71,-0.68,0.39,0.09,0.77,0.69,0.37,Active,2017-05-10 00:00:00,1,q1_q17_dr25_tce,/missions/kepler/dv_files/0014/001431122/kplr001431122-20160209194854_dvr.pdf,q1_q17_dr25_koi,q1_q17_dr25_koi,2454965.8619999997,0.00396,-0.00396,/missions/kepler/dv_files/0014/001431122/kplr001431122-01-20160209194854_dvs.pdf,0,0,0,0,283.62,100.01,-78.23999999999998,0.05666,3.20152,-0.06619999999999998,LS+MCMC,0.99,kplr001431122-20160128150956_dvt.fits
K00992.02,CONFIRMED,1432789,,992.02,CANDIDATE,CANDIDATE,19 25 59.861,0.0,+37 03 33.41,0.0,132.2982,0.011000000000000001,-0.011000000000000001,4.57834367,6.382e-05,-6.382e-05,140.7,13.6,-13.6,3.987,0.289,-0.289,,,,0.23199999999999998,0.23,-0.23199999999999998,88.47,,,0.055,,,0.0,,,,,,0.011000000000000001,0.0004969999999999999,-0.0008560000000000001,8.652999999999999,0.6679999999999999,-0.6679999999999999,1.44,0.23,-0.21,1206.0,,,5782.0,78.0,-78.0,4.28,0.13699999999999998,-0.11199999999999999,0.16,0.15,-0.15,1.22,0.196,-0.17600000000000002,1.035,-0.063,0.079,,,,q1_q17_dr25_stellar,11111111111111111000000000000000,Claret (2011 A&A 529 75) ATLAS LS,0.419,0.256,0.0,0.0,275,2.983,8.891,2,0.152,NO_COMMENT,Mandel and Agol (2002 ApJ 580 171),11.4,,,0.002,15.743,,15.17,,14.988,,14.927,,13.998,0.027000000000000003,13.664000000000001,0.027000000000000003,13.620999999999999,0.048,15.214,,cumulative,19.433,3.6e-05,37.058,0.0004,-1.6,1.5,-3.5,1.4,0.00023999999999999998,0.0002,0.0003,0.00018999999999999998,0.5,1.1,-1.54,0.8,1.61,0.73,0.5,1.0,-1.47,0.76,1.57,0.68,Active,2017-05-10 00:00:00,2,q1_q17_dr25_tce,/missions/kepler/dv_files/0014/001432789/kplr001432789-20160209194854_dvr.pdf,q1_q17_dr25_koi,q1_q17_dr25_koi,2454965.298,0.0109,-0.0109,/missions/kepler/dv_files/0014/001432789/kplr001432789-02-20160209194854_dvs.pdf,0,0,0,0,499.41,210.4,-153.04,0.5846899999999999,0.045110000000000004,-0.31824,LS+MCMC,0.961,kplr001432789-20160128150956_dvt.fits
K04359.01,FALSE POSITIVE,1575873,,4359.01,CANDIDATE,CANDIDATE,19 27 42.326,0.0,+37 06 04.65,0.0,131.55662,0.006,-0.006,0.629001455,4.57e-06,-4.57e-06,14.7,2.0,-2.0,1.263,0.20199999999999999,-0.20199999999999999,,,,0.365,0.10400000000000001,-0.365,84.2,,,0.016,,,0.0,,,,,,0.004,0.00020299999999999997,-0.000349,3.61,1.7,-1.7,0.81,0.17,-0.24,3375.0,,,6739.0,161.0,-202.0,3.948,0.259,-0.111,-0.24,0.3,-0.25,2.059,0.439,-0.604,1.375,-0.239,0.196,,,,q1_q17_dr25_stellar,11111111111111111000000000000000,Claret (2011 A&A 529 75) ATLAS LS,0.273,0.318,0.0,0.0,2127,3.69,10.472000000000001,1,0.375,CENT_SATURATED,Mandel and Agol (2002 ApJ 580 171),9.4,,,0.0,11.499,,11.210999999999999,,11.177999999999999,,11.193,,10.413,0.022000000000000002,10.245,0.021,10.206,0.023,11.283,,cumulative,19.462,1.8e-05,37.104,0.00026000000000000003,3.75,0.76,10.91,0.95,-5.14e-05,9.9e-06,-0.000145,1.2e-05,1.83,0.43,10.07,0.65,10.23,0.68,1.75,0.43,9.95,0.71,10.1,0.74,Active,2017-05-10 00:00:00,1,q1_q17_dr25_tce,/missions/kepler/dv_files/0015/001575873/kplr001575873-20160209194854_dvr.pdf,q1_q17_dr25_koi,q1_q17_dr25_koi,2454964.557,0.00643,-0.00643,/missions/kepler/dv_files/0015/001575873/kplr001575873-01-20160209194854_dvs.pdf,0,0,0,0,30567.67,18880.37,-17052.93,2.25862,15.02837,-1.4653399999999999,LS+MCMC,1.0,kplr001575873-20160128150956_dvt.fits
K03145.01,CONFIRMED,1717722,,3145.01,CANDIDATE,CANDIDATE,19 22 28.315,0.0,+37 17 20.72,0.0,132.1846,0.004,-0.004,4.53702121,2.498e-05,-2.498e-05,504.4,36.5,-36.5,1.8130000000000002,0.124,-0.124,,,,0.706,0.057999999999999996,-0.491,87.14,,,0.049,,,0.0,,,,,,0.022000000000000002,0.005,-0.002,14.16,6.3,-6.3,1.66,0.19,-0.11,798.0,,,4805.0,144.0,-144.0,4.633,0.027000000000000003,-0.059000000000000004,-0.06,0.3,-0.3,0.688,0.079,-0.045,0.769,-0.079,0.053,,,,q1_q17_dr25_stellar,01111111111111111000000000000000,Claret (2011 A&A 529 75) ATLAS LS,0.619,0.114,0.0,0.0,286,3.656,13.821,2,0.364,CENT_FEW_MEAS,Mandel and Agol (2002 ApJ 580 171),15.7,,,0.009000000000000001,16.554000000000002,,15.617,,15.319,,15.128,,14.058,0.03,13.46,0.032,13.357999999999999,0.039,15.689,,cumulative,19.375,1e-05,37.289,0.00014,-0.95,0.44,0.12,0.5,2e-05,0.00022,0.00037999999999999997,0.00025,1.37,0.44,-2.8,0.46,3.11,0.54,0.16,0.29,0.2,0.43,0.25,0.38,Active,2017-05-10 00:00:00,2,q1_q17_dr25_tce,/missions/kepler/dv_files/0017/001717722/kplr001717722-20160209194854_dvr.pdf,q1_q17_dr25_koi,q1_q17_dr25_koi,2454965.185,0.00446,-0.00446,/missions/kepler/dv_files/0017/001717722/kplr001717722-02-20160209194854_dvs.pdf,0,0,0,0,95.61,38.11,-21.67,2.61043,4.63396,-2.2154,LS+MCMC,1.0,kplr001717722-20160128150956_dvt.fits
K03145.02,FALSE POSITIVE,1717722,,3145.02,CANDIDATE,CANDIDATE,19 22 28.315,0.0,+37 17 20.72,0.0,131.70299,0.003,-0.003,0.9773114890000001,4.631e-06,-4.631e-06,250.7,20.5,-20.5,1.403,0.127,-0.127,,,,0.01,0.461,-0.01,89.9,,,0.018000000000000002,,,0.0,,,,,,0.013999999999999999,0.001,-0.00066,5.43,0.61,-0.61,1.06,0.12,-0.07,1331.0,,,4805.0,144.0,-144.0,4.633,0.027000000000000003,-0.059000000000000004,-0.06,0.3,-0.3,0.688,0.079,-0.045,0.769,-0.079,0.053,,,,q1_q17_dr25_stellar,01111111111111111000000000000000,Claret (2011 A&A 529 75) ATLAS LS,0.619,0.114,0.0,0.0,1266,4.127,12.243,2,0.8320000000000001,CENT_KIC_POS,Mandel and Agol (2002 ApJ 580 171),14.8,,,0.008,16.554000000000002,,15.617,,15.319,,15.128,,14.058,0.03,13.46,0.032,13.357999999999999,0.039,15.689,,cumulative,19.375,1.2e-05,37.289,0.00015,-0.98,0.5,0.03,0.55,1e-05,0.00011,0.00018,0.00011999999999999999,0.5,0.34,-3.17,0.56,3.21,0.58,-0.95,0.44,-0.13,0.63,0.96,0.46,Active,2017-05-10 00:00:00,3,q1_q17_dr25_tce,/missions/kepler/dv_files/0017/001717722/kplr001717722-20160209194854_dvr.pdf,q1_q17_dr25_koi,q1_q17_dr25_koi,2454964.703,0.00343,-0.00343,/missions/kepler/dv_files/0017/001717722/kplr001717722-03-20160209194854_dvs.pdf,0,0,0,0,737.36,293.96,-167.1,3.17024,0.35594000000000003,-1.8110400000000002,LS+MCMC,0.858,kplr001717722-20160128150956_dvt.fits
K04053.01,CONFIRMED,1718958,,4053.01,CANDIDATE,CANDIDATE,19 23 40.642,0.0,+37 17 13.81,0.0,132.92,0.006999999999999999,-0.006999999999999999,1.41975831,1.229e-05,-1.229e-05,60.9,8.8,-8.8,1.429,0.239,-0.239,,,,0.644,0.341,-0.44,83.77,,,0.025,,,0.0,,,,,,0.008,0.004,-0.000767,5.93,2.0,-2.0,0.85,0.13,-0.08,1700.0,,,5925.0,107.0,-119.0,4.394,0.084,-0.11599999999999999,-0.14,0.15,-0.15,1.035,0.157,-0.105,0.968,-0.067,0.067,,,,q1_q17_dr25_stellar,11111111111111111000000000000000,Claret (2011 A&A 529 75) ATLAS LS,0.35100000000000003,0.289,0.0,0.0,950,3.571,14.809000000000001,1,0.9620000000000001,NO_COMMENT,Mandel and Agol (2002 ApJ 580 171),8.1,,,0.265,13.171,,12.743,,12.642000000000001,,12.607999999999999,,11.777000000000001,0.02,11.474,0.022000000000000002,11.436,0.018000000000000002,12.800999999999998,,cumulative,19.395,1.4e-05,37.287,0.00018999999999999998,-0.59,0.61,-0.31,0.7,3.6e-05,3.4e-05,8e-06,3.9e-05,0.63,0.35,-0.26,0.32,0.68,0.35,0.65,0.36,-0.22,0.32,0.69,0.36,Active,2017-05-10 00:00:00,1,q1_q17_dr25_tce,/missions/kepler/dv_files/0017/001718958/kplr001718958-20160209194854_dvr.pdf,q1_q17_dr25_koi,q1_q17_dr25_koi,2454965.92,0.00692,-0.00692,/missions/kepler/dv_files/0017/001718958/kplr001718958-01-20160209194854_dvs.pdf,0,0,0,0,1968.38,836.24,-503.0,1.9590400000000001,1.98658,-1.9184299999999999,LS+MCMC,0.985,kplr001718958-20160128150956_dvt.fits
K04644.01,FALSE POSITIVE,1721157,,4644.01,CANDIDATE,CANDIDATE,19 25 49.762,0.0,+37 12 24.63,0.0,133.38221000000001,0.005,-0.005,3.44928111,2.122e-05,-2.122e-05,237.0,29.2,-29.2,1.4240000000000002,0.16399999999999998,-0.16399999999999998,,,,0.534,0.43200000000000005,-0.317,88.08,,,0.043,,,0.0,,,,,,0.013999999999999999,0.000472,-0.002,15.98,6.7,-6.7,1.23,0.16,-0.09,966.0,,,5119.0,154.0,-139.0,4.591,0.024,-0.09,0.14,0.25,-0.3,0.7809999999999999,0.10300000000000001,-0.055,0.879,-0.092,0.05,,,,q1_q17_dr25_stellar,11111111111111111000000000000000,Claret (2011 A&A 529 75) ATLAS LS,0.575,0.15,0.0,0.0,387,3.2060000000000004,10.004,1,0.823,NO_COMMENT,Mandel and Agol (2002 ApJ 580 171),9.7,,,0.0,15.889000000000001,,15.077,,14.825,,14.687999999999999,,13.699000000000002,0.023,13.21,0.026000000000000002,13.119000000000002,0.03,15.144,,cumulative,19.43,2.1e-05,37.207,0.00022999999999999998,0.22,0.9,0.34,0.83,-0.00022,0.00022,-0.00055,0.0002,-0.83,0.75,0.16,0.48,0.85,0.74,-0.96,0.79,0.12,0.66,0.97,0.75,Active,2017-05-10 00:00:00,1,q1_q17_dr25_tce,/missions/kepler/dv_files/0017/001721157/kplr001721157-20160209194854_dvr.pdf,q1_q17_dr25_koi,q1_q17_dr25_koi,2454966.3819999998,0.0048200000000000005,-0.0048200000000000005,/missions/kepler/dv_files/0017/001721157/kplr001721157-01-20160209194854_dvs.pdf,0,0,0,0,206.55,91.39,-46.68,6.484030000000001,5.433330000000001,-3.3990199999999997,LS+MCMC,0.97,kplr001721157-20160128150956_dvt.fits
K07624.01,FALSE POSITIVE,1723078,,7624.01,CANDIDATE,CANDIDATE,19 27 28.322,0.0,+37 16 11.56,0.0,364.8075,0.012,-0.012,330.02500200000003,0.006999999999999999,-0.006999999999999999,259.2,28.3,-28.3,6.659,0.604,-0.604,,,,0.68,0.276,-0.457,89.86,,,1.107,,,0.0,,,,,,0.016,0.000769,-0.001,286.0,127.0,-127.0,5.92,0.79,-2.39,478.0,,,6126.0,185.0,-167.0,3.5780000000000003,0.345,-0.115,0.06,0.25,-0.25,3.466,0.466,-1.399,1.6580000000000001,-0.39,0.16699999999999998,,,,q1_q17_dr25_stellar,11111111111111111000000000000000,Claret (2011 A&A 529 75) ATLAS LS,0.319,0.308,0.0,0.0,4,5.736000000000001,7.468999999999999,1,0.083,NO_COMMENT,Mandel and Agol (2002 ApJ 580 171),12.2,,,0.036000000000000004,13.118,,12.624,,12.475,,12.449000000000002,,11.547,0.025,11.318,0.032,11.225999999999999,0.018000000000000002,12.668,,cumulative,19.458,2.3e-05,37.27,0.00037,1.19,0.99,0.8,1.3,-0.00031,0.00028,-0.00033,0.00037999999999999997,-0.4,1.5,2.3,1.8,2.3,2.1,-0.3,1.3,2.3,1.6,2.3,1.7,Active,2017-05-10 00:00:00,1,q1_q17_dr25_tce,/missions/kepler/dv_files/0017/001723078/kplr001723078-20160209194854_dvr.pdf,q1_q17_dr25_koi,q1_q17_dr25_koi,2455197.808,0.0118,-0.0118,/missions/kepler/dv_files/0017/001723078/kplr001723078-01-20160209194854_dvs.pdf,0,0,0,0,12.36,5.55,-8.42,4.04249,14.3905,-3.71379,LS+MCMC,0.24600000000000002,kplr001723078-20160128150956_dvt.fits
K04212.02,FALSE POSITIVE,1724719,,4212.02,CANDIDATE,CANDIDATE,19 28 49.130,0.0,+37 13 16.38,0.0,132.3351,0.008,-0.008,10.0989634,0.0001171,-0.0001171,57.0,7.2,-7.2,6.428,0.47200000000000003,-0.47200000000000003,,,,0.529,0.435,-0.325,87.06,,,0.095,,,0.0,,,,,,0.006999999999999999,0.003,-8.9e-05,10.31,5.1,-5.1,1.03,0.18,-0.16,1016.0,,,6174.0,74.0,-86.0,4.244,0.125,-0.125,0.02,0.15,-0.15,1.318,0.243,-0.19899999999999998,1.109,-0.066,0.113,,,,q1_q17_dr25_stellar,11111111111111111000000000000000,Claret (2011 A&A 529 75) ATLAS LS,0.32,0.305,0.0,0.0,122,2.641,8.891,2,0.772,NO_COMMENT,Mandel and Agol (2002 ApJ 580 171),8.9,,,0.213,14.382,,13.91,,13.779000000000002,,13.707,,12.888,0.022000000000000002,12.604000000000001,0.022000000000000002,12.59,0.026000000000000002,13.96,,cumulative,19.48,3.3e-05,37.221,0.00042,1.3,1.4,-0.3,1.5,-0.00011999999999999999,0.00014,-0.0001,0.00015,0.5,1.4,-0.8,2.3,1.0,2.1,0.5,1.4,-0.8,2.3,1.0,2.1,Active,2017-05-10 00:00:00,2,q1_q17_dr25_tce,/missions/kepler/dv_files/0017/001724719/kplr001724719-20160209194854_dvr.pdf,q1_q17_dr25_koi,q1_q17_dr25_koi,2454965.335,0.00841,-0.00841,/missions/kepler/dv_files/0017/001724719/kplr001724719-02-20160209194854_dvs.pdf,0,0,0,0,251.36,118.44,-80.06,0.20339000000000002,2.59097,-0.13935999999999998,LS+MCMC,1.0,kplr001724719-20160128150956_dvt.fits
K02538.01,CONFIRMED,1849702,,2538.01,CANDIDATE,CANDIDATE,19 05 08.628,0.0,+37 23 13.41,0.0,155.6409,0.005,-0.005,39.831253600000004,0.00020659999999999998,-0.00020659999999999998,388.8,29.7,-29.7,2.4419999999999997,0.163,-0.163,,,,0.24,0.223,-0.24,89.89,,,0.212,,,0.0,,,,,,0.018000000000000002,0.001,-0.0007740000000000001,123.3,34.6,-34.6,1.46,0.1,-0.06,420.0,,,5026.0,100.0,-100.0,4.58,0.024,-0.048,0.0,0.15,-0.15,0.759,0.05,-0.034,0.8,-0.048,0.038,,,,q1_q17_dr25_stellar,11111111111111111000000000000000,Claret (2011 A&A 529 75) ATLAS LS,0.568,0.153,0.0,0.0,36,4.52,13.026,1,0.6809999999999999,NO_COMMENT,Mandel and Agol (2002 ApJ 580 171),15.8,,,0.8290000000000001,14.773,,14.079,,13.847000000000001,,13.710999999999999,,12.729000000000001,0.028999999999999998,12.193,0.027000000000000003,12.145999999999999,0.024,14.125,,cumulative,19.086,1.9e-05,37.387,0.00022999999999999998,-0.02,0.79,-1.26,0.84,5e-05,0.00031,0.0001,0.00033999999999999997,-0.04,0.31,0.0,0.47,0.04,0.32,-0.11,0.27,-0.29,0.5,0.31,0.5,Active,2017-05-10 00:00:00,1,q1_q17_dr25_tce,/missions/kepler/dv_files/0018/001849702/kplr001849702-20160209194854_dvr.pdf,q1_q17_dr25_koi,q1_q17_dr25_koi,2454988.641,0.00474,-0.00474,/missions/kepler/dv_files/0018/001849702/kplr001849702-01-20160209194854_dvs.pdf,0,0,0,0,7.33,1.68,-1.16,22.32456,6.26486,-9.90318,LS+MCMC,1.0,kplr001849702-20160128150956_dvt.fits
K04926.01,FALSE POSITIVE,1865864,,4926.01,CANDIDATE,CANDIDATE,19 23 29.532,0.0,+37 21 43.84,0.0,135.4461,0.027999999999999997,-0.027999999999999997,69.089357,0.002,-0.002,475.1,73.5,-73.5,6.207000000000001,0.93,-0.93,,,,0.051,0.41600000000000004,-0.051,89.97,,,0.289,,,0.0,,,,,,0.019,0.002,-0.002,86.6,39.3,-39.3,1.47,0.13,-0.14,332.0,,,4848.0,131.0,-146.0,4.581,0.063,-0.036000000000000004,-0.28,0.3,-0.3,0.698,0.062,-0.068,0.679,-0.047,0.081,,,,q1_q17_dr25_stellar,01111111111111111000000000000000,Claret (2011 A&A 529 75) ATLAS LS,0.602,0.126,0.0,0.0,20,3.6710000000000003,7.635,1,0.386,CENT_UNCERTAIN,Mandel and Agol (2002 ApJ 580 171),8.6,,,0.26899999999999996,16.415,,15.535,,15.210999999999999,,15.044,,13.929,0.024,13.382,0.026000000000000002,13.289000000000001,0.033,15.572000000000001,,cumulative,19.392,4e-05,37.361999999999995,0.0004,-1.5,1.7,-0.3,1.4,0.00078,0.00081,-0.00018999999999999998,0.0006799999999999999,-1.07,0.84,0.13,0.35,1.08,0.83,-0.95,0.85,0.4,0.32,1.03,0.79,Active,2017-05-10 00:00:00,1,q1_q17_dr25_tce,/missions/kepler/dv_files/0018/001865864/kplr001865864-20160209194854_dvr.pdf,q1_q17_dr25_koi,q1_q17_dr25_koi,2454968.446,0.027999999999999997,-0.027999999999999997,/missions/kepler/dv_files/0018/001865864/kplr001865864-01-20160209194854_dvs.pdf,0,0,0,0,2.87,0.92,-0.8,2.57178,2.3355099999999998,-2.5395,LS+MCMC,0.523,kplr001865864-20160128150956_dvt.fits
K02351.01,CONFIRMED,1872821,,2351.01,CANDIDATE,CANDIDATE,19 29 42.619,0.0,+37 19 14.91,0.0,134.65748,0.005,-0.005,10.27380957,5.929e-05,-5.929e-05,352.8,20.5,-20.5,3.252,0.141,-0.141,,,,0.125,0.33399999999999996,-0.125,89.71,,,0.092,,,0.0,,,,,,0.017,0.000889,-0.00047599999999999997,24.37,4.1,-4.1,1.68,0.16,-0.08,799.0,,,5806.0,69.0,-87.0,4.5280000000000005,0.023,-0.068,-0.04,0.15,-0.15,0.899,0.084,-0.045,0.996,-0.066,0.046,,,,q1_q17_dr25_stellar,11111111111111111000000000000000,Claret (2011 A&A 529 75) ATLAS LS,0.40399999999999997,0.262,0.0,0.0,126,4.465,17.772000000000002,1,0.107,NO_COMMENT,Mandel and Agol (2002 ApJ 580 171),19.2,,,0.049,15.455,,14.859000000000002,,14.675,,14.578,,13.695,0.024,13.328,0.024,13.333,0.035,14.909,,cumulative,19.495,1.8e-05,37.321,0.00018999999999999998,1.28,0.77,-0.84,0.69,-0.00041,0.00028,-0.00013000000000000002,0.00025,-0.19,0.34,0.2,0.36,0.28,0.35,-0.2,0.75,0.09,0.47,0.22,0.54,Active,2017-05-10 00:00:00,1,q1_q17_dr25_tce,/missions/kepler/dv_files/0018/001872821/kplr001872821-20160209194854_dvr.pdf,q1_q17_dr25_koi,q1_q17_dr25_koi,2454967.6569999997,0.00505,-0.00505,/missions/kepler/dv_files/0018/001872821/kplr001872821-01-20160209194854_dvs.pdf,0,0,0,0,96.27,24.4,-14.49,2.59443,0.44009,-0.9427200000000001,LS+MCMC,1.0,kplr001872821-20160128150956_dvt.fits
K02534.02,CONFIRMED,1996180,,2534.02,CANDIDATE,CANDIDATE,19 05 22.632,0.0,+37 24 43.08,0.0,133.46021000000002,0.009000000000000001,-0.009000000000000001,5.42204257,6.847e-05,-6.847e-05,79.1,8.2,-8.2,2.952,0.223,-0.223,,,,0.94,0.037000000000000005,-0.64,79.76,,,0.062,,,0.0,,,,,,0.01,0.000749,-0.002,5.29,2.6,-2.6,1.39,0.26,-0.21,1222.0,,,6123.0,122.0,-134.0,4.263,0.13699999999999998,-0.11199999999999999,-0.06,0.15,-0.15,1.263,0.23199999999999998,-0.19,1.0659999999999998,-0.073,0.109,,,,q1_q17_dr25_stellar,11111111111111111000000000000000,Claret (2011 A&A 529 75) ATLAS LS,0.35100000000000003,0.289,0.0,0.0,218,3.9930000000000003,8.699,2,0.7240000000000001,NO_COMMENT,Mandel and Agol (2002 ApJ 580 171),10.7,,,0.6509999999999999,14.323,,13.866,,13.755,,13.708,,12.860999999999999,0.024,12.569,0.024,12.503,0.022000000000000002,13.925,,cumulative,19.09,2.6e-05,37.412,0.00031,-0.3,1.1,-0.7,1.1,-3.1e-05,9.4e-05,-4.1e-05,9.5e-05,1.48,0.69,-1.1,1.1,1.83,0.81,1.37,0.8,-1.3,1.2,1.9,1.0,Active,2017-05-10 00:00:00,2,q1_q17_dr25_tce,/missions/kepler/dv_files/0019/001996180/kplr001996180-20160209194854_dvr.pdf,q1_q17_dr25_koi,q1_q17_dr25_koi,2454966.46,0.00864,-0.00864,/missions/kepler/dv_files/0019/001996180/kplr001996180-02-20160209194854_dvs.pdf,0,0,0,0,527.11,272.08,-178.89,0.09508,1.92284,-0.07974000000000002,LS+MCMC,0.922,kplr001996180-20160128150956_dvt.fits
